Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,26/10/2022, G/TBT/N/CHN/1707,CNCA-C16-01：2014 Implementation Rules for Compulsory Product Certification Telecommunication Terminal Equipment,"The Implementation Rules describe the scope of application, certification basis standards, certification mode, certification unit division, certification entrustment, certification implementation, post certification supervision, certificate, certification mark, fees, certification responsibility, etc. of telecommunication terminal equipment (including power adapter and charger used by  telecommunication terminal equipment).",Power adapter/charger for telecommunication terminal products (HS code(s): 850440); (ICS code(s): 29.200),29.200 - Rectifiers. Converters. Stabilized power supply,Protection of human health or safety (TBT),,,25/12/2022,Regular notification,850440 - Static converters,850440,,,,,
China,26/10/2022, G/TBT/N/CHN/1708,CNCA-C09-01：2014 Implementation Rules for Compulsory Product Certification Information Technology Equipment,"The Implementation Rules describe the scope of application, certification basis standards, certification mode, certification unit division, certification entrustment, certification implementation, post certification supervision,  certificate, certification mark, fees, certification responsibility, etc. of information technology equipment (including lithium ion battery and battery pack for portable electronic products, portable mobile power supply).","Lithium ion battery and battery pack for portable electronic products, portable mobile power supply (HS code(s): 850440; 850650; 850750; 850760; 850780; 850790); (ICS code(s): 29.220)",29.220 - Galvanic cells and batteries,Protection of human health or safety (TBT),,,25/12/2022,Regular notification,"850440 - Static converters; 850650 - Lithium cells and batteries (excl. spent); 850760 - Lithium-ion accumulators (excl. spent); 850780 - Electric accumulators (excl. spent and lead-acid, nickel-cadmium, nickel-iron, nickel-metal hydride and lithium-ion accumulators); 850790 - Plates, separators and other parts of electric accumulators, n.e.s.; 850750 - Nickel-metal hydride accumulators (excl. spent)",850440,850650,850760,850780,850790,850750
China,14/10/2022, G/TBT/N/CHN/1704,"National Standard of the P.R.C., Rolling Equipment-Safety Requirements","This document specifies the safety requirements and/or measures for equipment design, operation and maintenance of ferrous metal rolling production line, and provides typical solutions for protective devices and examples of manufacturer's maintenance safety procedures.This document applies to the following ferrous metal rolling production line equipment: hot continuous rolling, medium plate, steckel mill, continuous cold rolling, single stand cold rolling.",Rolling equipment (HS code(s): 845430); (ICS code(s): 77.180),77.180 - Equipment for the metallurgical industry,Protection of human health or safety (TBT); Quality requirements (TBT),,,13/12/2022,Regular notification,845430 - Casting machines of a kind used in metallurgy or in metal foundries,,,,,,
China,14/10/2022, G/TBT/N/CHN/1703,"National Standard of the P.R.C., Passenger Car Tyres","This document specifies the requirements, test methods, inspection and evaluation rules, markings and implementation requirements for passenger car tyres.This document applies to new pneumatic passenger car tyres. ",Passenger car tyres (HS code(s): 401110); (ICS code(s): 83.160.10),83.160.10 - Road vehicle tyres,Protection of human health or safety (TBT),,,13/12/2022,Regular notification,"401110 - New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing cars",,,,,,
China,14/10/2022, G/TBT/N/CHN/1705,"National Standard of the P.R.C., Safety Requirements of Glass for Train","This document specifies the classification, technical requirements and test methods of glass for rolling stock.This document applies to windscreen, interior glass and bodyside window glass for train.","Laminated glass and electrically heated glass for windscreen, laminated glass and tempered glass for interior use , insulating glazing unit for bodyside window (HS code(s): 700711); (ICS code(s): 81.040.30)",81.040.30 - Glass products,Protection of human health or safety (TBT),,,13/12/2022,Regular notification,"700711 - Toughened ""tempered"" safety glass, of size and shape suitable for incorporation in motor vehicles, aircraft, spacecraft, vessels and other vehicles",,,,,,
China,14/10/2022, G/TBT/N/CHN/1706,"National Standard of the P.R.C., Woodworking Machines-Safety Technical Code",This document specifies the safety technical specifications of woodworking machines.This document applies to fixed and movable woodworking machines.,Woodworking Machines (HS code(s): 846510); (ICS code(s): 79.120.10),79.120.10 - Woodworking machines,Protection of human health or safety (TBT); Protection of the environment (TBT); Quality requirements (TBT),,,13/12/2022,Regular notification,"846510 - Machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, which can carry out different types of machining operations without tool change between such operations",,,,,,
China,14/10/2022, G/TBT/N/CHN/1702,"National Standard of the P.R.C., Truck Tyres","This document specifies the requirements, test methods，inspection  and evaluation rules, markings and implementation requirements for truck tyres.This document applies to new pneumatic truck tyres. ",Truck tyres (HS code(s): 401120); (ICS code(s): 83.160.10),83.160.10 - Road vehicle tyres,Protection of human health or safety (TBT),,,13/12/2022,Regular notification,"401120 - New pneumatic tyres, of rubber, of a kind used for buses and lorries (excl. tyres with lug, corner or similar treads)",,,,,,
China,14/10/2022, G/TBT/N/CHN/1700,"National Standard of the P.R.C.,  Safety Technical Requirements for Cap Lamps in Coal Mine","This document specifies performance, safety requirements, test methods, markings, package, transportation and storage, and product classification of cap lamps in coal mine.This document applies to cap lamps in coal mine, including the lamps which are used as  power for other equipment.",Cap lamps in coal mine (HS code(s): 8513); (ICS code(s): 29.260.20),29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT); Quality requirements (TBT),,,13/12/2022,Regular notification,"8513 - Portable electric lamps designed to function by their own source of energy, e.g. dry batteries, accumulators and magnetos; parts thereof (excl. lighting equipment of heading 8512)",,,,,,
China,14/10/2022, G/TBT/N/CHN/1701,"National Standard of the P.R.C., Escape Apparatus for Building Fire Part 8: Chemical Oxygen Respiratory Protective Devices for Self-rescue from Fire","This document specifies the terms and definitions, models and specifications, technical requirements, test methods, inspection rules, markings, packaging, transportation and storage of chemical oxygen respiratory protective devices for self-rescue from fire .This document applies to the disposable chemical oxygen fire self rescue respirator with potassium peroxide as the oxygen generating agent, which is used for personnel to escape in the case of oxygen deficiency in the event of fire. This document does not apply to working and rescue respirators, nor to diving respirators.",Chemical oxygen respiratory protective devices for self-rescue from fire (HS code(s): 9020); (ICS code(s): 13.220.10),13.220.10 - Fire-fighting,Prevention of deceptive practices and consumer protection (TBT); Protection of human health or safety (TBT),,,13/12/2022,Regular notification,"9020 - Breathing appliances and gas masks (excl. protective masks having neither mechanical parts nor replaceable filters, and artificial respiration or other therapeutic respiration apparatus)",,,,,,
China,14/09/2022, G/TBT/N/CHN/1699,Provisions for the Supervision of Cosmetics Online Distribution (Draft),The document is to standardize the online cosmetics distribution and the service behavior on e-commerce platform of cosmetics to ensure the safety of consumers' health., Cosmetics (HS code(s): 33); (ICS code(s): 71.100.70),71.100.70 - Cosmetics. Toiletries,Protection of human health or safety (TBT),Human health,,13/11/2022,Regular notification,"33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",,,,,,
China,23/08/2022, G/TBT/N/CHN/1692,"National Standard of the P.R.C., Safety-belts and Restraint Systems for Occupants of Power-driven Vehicles","This document specifies definitions, technical requirements and test methods of the Safety-belts, restraint systems, child restraint systems, ISOFIX child restraint systems, i-Size child restraint systems and safety-belt reminders for occupants of power-driven vehicles. 
This document applies to：
1) Vehicles of category M, N, with regard to the installation of safety-belts and restraint systems which are intended for separate use, i.e. as individual fittings, by persons of adult build occupying forward-facing, rearward-facing and side-facing seats;
2) Safety-belts and restraint systems which are intended for separate use, i.e. as individual fittings, by persons of adult build occupying forward-facing, rearward-facing and side-facing seats, and are designed for installation in vehicles of category M, N; 
3) Vehicles of category M1 and N1 with regard to the installation of child restraint systems and ISOFIX child restraint systems; 
4) All seating positions in vehicle categories M and N fitted with safety belt with regard to safety belt reminder; 
5)Installation of child restraint systems and ISOFIX child restraint systems designated for installation in vehicles of categories M2 and M3; 
6)Safety-belts designated for installation on side-facing seats in vehicles of category M3 (Class II, III or B);
7)Installation of i-Size child restraint systems.",Vehicles (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1690,"National Standard of the P.R.C., Roof Crush Resistance of Passenger Cars","This  document specifies the technical requirements and test methods for roof crush resistance of passenger cars.
This document applies to vehicles  of category M1 , and it does not applies to convertible vehicles.",Vehicles (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Other (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1693,"National Standard of the P.R.C.,  Safety-belt Anchorages, Restraint Systems Anchorages for Occupants of Power-driven Vehicles","This document specifies the positional requirements, strength requirements and test methods of safety-belt anchorages and child restraint system anchorages for occupants of power-driven vehicles. 
This document applies to 1) vehicles of categories M and N with regard to their anchorages for safety-belts intended for adult occupants of forward-facing or rearward-facing or side-facing seats; 2) vehicles of category M1 with regard to their ISOFIX anchorage systems and their ISOFIX top tether anchorages intended for child restraint systems, and other categories of vehicles fitted with ISOFIX anchorages; 3) vehicles with regard to their i-Size seating positions.",Vehicles (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1698,"National Standard of the P.R.C., the Strength of Student Seat Systems and Their Anchorages of Special School Bus","This document specifies technical requirements and test methods for the strength of student seats and their anchorages. 
This document applies to the student seats and their anchorages for special school bus, as well as restraining barrier installed in front of student seats on special school buses.","The student seats, their anchorages for special school bus, restraining barrier installed in front of student seats (HS code(s): 940120); (ICS code(s): 43.040.60)",43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Quality requirements (TBT),,,22/10/2022,Regular notification,940120 - Seats for motor vehicles,,,,,,
China,23/08/2022, G/TBT/N/CHN/1696,"National Standard of the P.R.C., General Technical Requirements for Software Update of Vehicles","This document specifies the management system requirements, vehicle requirements, test methods, changes and extensions of vehicle types and instructions for vehicle software update. 
This document applies to M and N vehicles, and other vehicle types can refer to it for implementation.",vehicle (HS code(s): 87); (ICS code(s): 43.020),43.020 - Road vehicles in general,Prevention of deceptive practices and consumer protection (TBT); Quality requirements (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1694,"National Standard of the P.R.C., Restraining Devices for Child Occupants of Power-driven Vehicles","This document specifies the terms and definitions , general requirements, performance requirements and test methods, test reports, identification and instructions of child restraint systems  for child occupants of power-driven vehicles. 
This document applies to the following types of child passenger restraint systems installed on motor vehicles:
a）integral universal ISOFIX child restraint system (i-Size);
b）integral specific vehicle ISOFIX child restraint system;
c）integral universal belted child restraint system;
d）integral specific vehicle belted child restraint system;
e）non-integral universal child restraint system with backrest (i-Size booster seat);
f）non-integral specific vehicle child restraint system with backrest (specific vehicle booster seat);
g）non-integral universal child restraint system without backrest (universal booster cushion) ;
h) non-integral specific vehicle child restraint system without backrest (specific vehicle booster cushion).",Vehicles (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Quality requirements (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1697,"National Standard of the P.R.C., Fuel Consumption Limits for Heavy-duty Commercial Vehicles","This document specifies the fuel consumption limits, conformity of production, extension of certification and implementation dates for heavy-duty commercial vehicles.
This document applies to the gasoline and diesel commercial vehicles with maximum design total mass above 3500 kg, including trucks, semi-trailer tractors, buses, dumpers and city buses.
This document does not apply to special goods vehicles, including  special goods vans, special goods tankers, special tippers for special goods , special goods box trucks, special goods lift trucks and special construction vehicles for special goods, etc..",heavy-duty commercial vehicles (HS code(s): 87); (ICS code(s): 43.020),43.020 - Road vehicles in general,Protection of the environment (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
China,23/08/2022, G/TBT/N/CHN/1691,"National Standard of the P.R.C., Front and Rear Protective Devices for Passenger Cars","This  document specifies the technical requirements and test methods of front and rear protective devices for passenger car.
This document applies to vehicles  of category M1. ",Vehicles (HS code(s): 87); (ICS code(s): 43.040.60),43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Other (TBT),,,22/10/2022,Regular notification,"87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",,,,,,
